ACCOUNTID,RENEW,INTERCEPT,PLAYOFF,TENURE,OPENSNINETY,NOTES,TICKETSPEND,LIFETIMEMERCHSPEND,MISSEDALL,TENDUMMY,DISTANCE,PAWP,EMAILCATEGORIES,CATEGORYDUMMY,MISSEDREG,LOGINS,CLICKS90,PAWP,RAND
5703645,1,1,1,2,1,0,3380,0,1,0,2595,0,2,1,0,0,4,0,8.21E-06
355930,1,1,1,7,8,0,4120,0,0,1,116,1,2,1,0,0,2,1,1.83E-05
288345,1,1,1,9,0,0,10140,0,0,1,34,0,3,1,0,0,1,0,2.61E-05
4220079,1,1,1,5,0,0,3900,0,0,1,17,0,1,0,0,0,0,0,3.21E-05
258161,1,1,0,9,0,0,5850,0,0,1,17,0,2,1,0,0,0,0,3.61E-05
5512970,1,1,1,2,6,0,2700,0,1,0,32,1,3,1,0,1,6,1,3.70E-05
227053,1,1,1,9,8,0,3510,0,0,1,2,1,4,1,0,0,1,1,9.94E-05
194119,1,1,0,9,0,0,4050,0,0,1,81,0,3,1,0,0,0,0,0.000143282
175441,1,1,1,9,5,0,5400,0,0,1,53,1,4,1,0,0,1,1,0.000177011
328628,1,1,1,7,1,0,3560,22.89,0,1,48,1,5,1,0,0,4,1,0.00030225
213237,1,1,1,9,1,0,2340,0,2,1,31,0,1,0,0,0,0,0,0.000378248
289918,1,1,1,9,1,0,2340,0,0,1,45,1,5,1,0,1,3,1,0.00051573
163638,1,1,1,9,0,1,2700,0,0,1,44,1,2,1,0,0,0,1,0.000518909
204052,1,1,1,8,8,0,2700,0,0,1,34,0,7,1,0,0,5,0,0.000605967
6567990,1,1,1,1,5,0,6750,0,0,0,32,0,2,1,0,0,3,0,0.000609037
162725,1,1,1,9,6,0,1780,0,1,1,195,1,6,1,0,0,14,1,0.000625012
261219,1,1,1,9,2,0,4680,0,0,1,19,0,2,1,0,0,1,0,0.000684873
317683,1,1,1,9,0,0,3560,0,1,1,20,0,1,0,0,0,1,0,0.000795755
247931,1,1,1,9,1,0,1350,0,0,1,7,0,3,1,0,0,2,0,0.000825798
468090,1,1,1,3,3,0,2670,0,1,1,123,0,5,1,0,0,6,0,0.001065381
4044966,1,1,1,5,5,0,2340,35.99,0,1,17,1,3,1,0,0,7,1,0.001268869
472738,1,1,1,3,0,0,3560,0,1,1,37,1,1,0,0,56,2,1,0.001273428
136523,1,1,1,9,1,0,2700,148.45,2,1,43,0,2,1,1,0,2,0,0.001316019
422238,1,1,1,5,7,0,2600,290.72,0,1,9,1,6,1,0,3,19,1,0.001340507
3638534,1,1,1,3,3,0,3510,0,2,1,29,1,5,1,0,0,2,1,0.001436225
105987,1,1,1,9,0,0,3960,0,0,1,95,0,1,0,0,0,0,0,0.00144332
430235,1,1,1,9,0,0,5400,0,1,1,50,0,6,1,0,0,0,0,0.001633757
433865,1,1,1,6,6,0,2700,154.68,0,1,79,0,4,1,0,0,4,0,0.001662093
343269,1,1,1,10,1,0,1980,0,2,1,87,0,1,0,0,0,0,0,0.001704546
230716,1,1,1,9,2,0,1170,0,3,1,82,0,3,1,1,0,3,0,0.001714466
129934,1,1,1,9,0,0,4680,0,0,1,23,1,2,1,0,0,1,1,0.001733025
396179,1,1,1,9,1,0,4680,0,0,1,29,1,4,1,0,0,2,1,0.00173557
430312,1,1,0,9,1,0,3960,0,2,1,46,0,4,1,0,0,1,0,0.00177859
252771,1,1,1,9,1,0,2700,109.49,1,1,20,0,3,1,0,0,1,0,0.0018305
299444,1,1,0,9,1,1,3380,0,2,1,8,0,3,1,1,0,0,0,0.001838363
368173,1,1,1,9,0,0,2340,0,0,1,31,0,4,1,0,0,0,0,0.002181864
289907,1,1,1,9,1,0,3380,0,0,1,13,0,5,1,0,0,2,0,0.002196566
137040,1,1,1,9,0,0,5070,0,1,1,16,0,2,1,0,27,0,0,0.002203438
296804,1,1,1,8,0,0,3380,0,0,1,34,0,2,1,0,0,0,0,0.002282348
255994,1,1,1,9,0,0,3560,0,1,1,173,0,1,0,0,0,0,0,0.0023172
111278,1,1,1,9,2,0,12480,0,0,1,8,0,6,1,0,0,5,0,0.002422015
153551,1,1,1,8,18,0,2700,312.87,0,1,55,1,6,1,0,0,20,1,0.002703842
162527,1,1,1,9,3,0,4680,0,1,1,47,0,6,1,0,0,6,0,0.002791601
4284679,1,1,1,5,2,0,6760,0,0,1,18,0,2,1,0,0,9,0,0.002868301
165475,1,1,1,9,0,0,1980,0,0,1,70,0,2,1,0,0,0,0,0.002870166
5127035,1,1,1,3,4,0,2700,0,0,1,75,1,3,1,0,0,7,1,0.002912967
103589,1,1,1,9,5,0,3380,0,0,1,27,0,1,0,0,0,2,0,0.002928781
